商品ID	商店类型	对应物品ID	轮替商品ID	对应物品数量	消耗金币	消耗水晶	消耗创世结晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	限购数量	刷新类型	刷新参数	提前预览天数	上架时间	下架时间	是否终身限购	前置条件	前置条件参数	条件参数1	条件参数2	前置条件屏蔽显示	最小可见等级	最小队伍等级	最大队伍等级	排序等级	二级页签ID	n选1组ID	显示平台
102503	1001	104002		3				222	8							100	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	9			
102504	1001	104013		1				222	5							60	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	9			
102505	1001	202		10000				222	10							30	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	9			
102506	1001	202		10000				222	20								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00		1	102505	102505			1	10	99	9			
102507	1001	112015		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	25	99	8			
102508	1001	112018		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	25	99	7			
102509	1001	112021		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	25	99	8			
102510	1001	112024		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	25	99	8			
102511	1001	112027		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	25	99	8			
102512	1001	112030		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	25	99	8			
102513	1001	112042		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	25	99	8			
102514	1001	112003		1				222	5							35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	4			
102515	1001	112006		1				222	5							35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	4			
102516	1001	112009		1				222	5							35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	4			
102517	1001	112012		1				222	5							35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	4			
102518	1001	112033		1				222	5							35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	4			
102519	1001	112036		1				222	5							35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	4			
102520	1001	112039		1				222	5							35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	4			
102521	1001	112014		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	3			
102522	1001	112017		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	2			
102523	1001	112020		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	3			
102524	1001	112023		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	3			
102525	1001	112026		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	3			
102526	1001	112029		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	3			
102527	1001	112041		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	3			
102528	1001	112002		3				222	5							15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	1			
102529	1001	112005		3				222	5							15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	1			
102530	1001	112008		3				222	5							15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	1			
102531	1001	112011		3				222	5							15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	1			
102532	1001	112032		3				222	5							15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	1			
102533	1001	112035		3				222	5							15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	1			
102534	1001	112038		3				222	5							15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	1			
102535	1001	104201		10				222	5							100	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	5			
102537	1001	112044		3				222	5							15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	1			
102538	1001	112045		1				222	5							35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	4			
102539	1001	112047		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	3			
102540	1001	112048		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	8			
102541	1001	112050		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	3			
102542	1001	112051		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	8			
102543	1001	112053		3				222	5							15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	1			
102544	1001	112054		1				222	5							35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	4			
102545	1001	112056		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	3			
102546	1001	112057		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	8			
102547	1001	112059		3				222	5							15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	1			
102548	1001	112060		1				222	5							35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	4			
102549	1001	112062		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	2			
102550	1001	112063		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	7			
102551	1001	112065		3				222	5							15	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	1			
102552	1001	112066		1				222	5							35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	4			
102553	1001	112068		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	2			
102554	1001	112069		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	7			
102555	1001	112071		1				222	5							16	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	2			
102556	1001	112072		1				222	15							12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	7			
103050	902	115030		1				100057	180							15				2022-04-25 00:00:00	2035-01-01 00:00:00							1	1	99	11			
103058	902	115034		1				100057	380							15				2022-09-09 00:00:00	2035-01-01 00:00:00							1	1	99	11			
103062	902	115022		1				100057	680							15				2022-11-01 00:00:00	2035-01-01 00:00:00							25	25	99	11			
103063	902	115029		1				100057	680							15				2022-11-01 00:00:00	2035-01-01 00:00:00							25	25	99	11			
103064	902	115023		1				100057	380							15				2022-11-23 00:00:00	2035-01-01 00:00:00							1	1	99	11			
106001	1052	340001		1				100057	1680							1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	451			
106002	1052	340000		1				100057	1680							1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	441			
106003	1052	340003		1				100057	1680							1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	452			
106004	1052	340002		1				100057	1680							1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	442			
106005	1052	340004		1				100057	2480							1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	453			
106006	1052	340005		1				100057	1680							1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	443			
800001	1002	1002		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800002	1002	1003		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800003	1002	1005		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800004	1002	1006		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800005	1002	1007		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800006	1002	1014		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800007	1002	1015		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800008	1002	1016		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800009	1002	1020		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800010	1002	1021		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800011	1002	1022		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800012	1002	1023		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800013	1002	1024		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800014	1002	1025		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800015	1002	1026		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800016	1002	1027		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800017	1002	1029		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800018	1002	1030		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800019	1002	1031		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800020	1002	1032		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800021	1002	1033		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800022	1002	1034		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800023	1002	1035		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800024	1002	1036		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800025	1002	1037		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800026	1002	1038		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800027	1002	1039		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800028	1002	1041		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800029	1002	1042		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800030	1002	1043		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800031	1002	1044		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800032	1002	1045		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800033	1002	1046		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800034	1002	1047		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800035	1002	1048		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800036	1002	1049		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800037	1002	1050		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800038	1002	1051		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800039	1002	1052		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800040	1002	1053		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800041	1002	1054		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800042	1002	1055		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800043	1002	1056		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800044	1002	1057		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800045	1002	1058		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800046	1002	1059		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800047	1002	1060		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800048	1002	1062		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800049	1002	1063		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800050	1002	1064		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800051	1002	1065		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800052	1002	1066		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800053	1002	1067		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800054	1002	1068		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800055	1002	1069		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800056	1002	1070		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800057	1002	1071		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800058	1002	1072		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800059	1002	1073		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800060	1002	1074		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800061	1002	11509		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800062	1002	11504		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800063	1002	11503		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800064	1002	11502		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800065	1002	11511		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800066	1002	11505		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800067	1002	11510		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800068	1002	11501		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800069	1002	12503		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800070	1002	12501		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800071	1002	12504		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800072	1002	12502		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800073	1002	12510		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800074	1002	15507		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800075	1002	15501		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800076	1002	15511		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800077	1002	15502		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800078	1002	15503		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800079	1002	15509		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800080	1002	15508		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800081	1002	14509		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800082	1002	14506		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800083	1002	14502		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800084	1002	14501		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800085	1002	14504		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800086	1002	14511		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800087	1002	13504		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800088	1002	13507		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800089	1002	13509		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800090	1002	13501		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800091	1002	13511		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800092	1002	13505		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
800093	1002	13502		1				100057	1000								1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	4	99	9			
