排期ID	入口层ID	[排期]1层ID	[排期]1开启时间	[排期]2层ID	[排期]2开启时间	[排期]3层ID	[排期]3开启时间	[排期]4层ID	[排期]4开启时间	结束时间	奖励组ID	月纪念奖励	月度增益
23	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-10-28 04:00:00							2023-10-28 15:59:59	1		1384
24	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-10-28 16:00:00							2023-10-29 03:59:59	1		1387
25	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-10-29 04:00:00							2023-10-29 15:59:59	1		1388
26	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-10-29 16:00:00							2023-10-30 03:59:59	1		1389
27	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2023-10-30 04:00:00							2023-10-30 15:59:59	1		1390
28	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2023-10-30 16:00:00							2023-10-31 03:59:59	1		1391
29	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2023-10-31 04:00:00							2023-10-31 15:59:59	1		1392
30	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1028,1029	2023-10-31 16:00:00							2023-11-01 03:59:59	1		1610
31	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1028,1029	2023-11-01 04:00:00							2023-11-01 15:59:59	1		1611
32	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2023-11-01 16:00:00							2023-11-02 03:59:59	1		1629
33	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2023-11-02 04:00:00							2023-11-02 15:59:59	1		1630
34	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2023-11-02 16:00:00							2023-11-03 03:59:59	1		1631
35	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2023-11-03 04:00:00							2023-11-03 15:59:59	1		1636
36	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2023-11-03 16:00:00							2023-11-04 03:59:59	1		1638
37	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2023-11-04 04:00:00							2023-11-04 15:59:59	1		1637
38	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2023-11-04 16:00:00							2023-11-05 03:59:59	1		1680
39	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2023-11-05 04:00:00							2023-11-05 15:59:59	1		1681
40	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2023-11-05 16:00:00							2023-11-06 03:59:59	1		1682
41	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1036,1037	2023-11-06 04:00:00							2023-11-06 15:59:59	1		1684
42	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1036,1037	2023-11-06 16:00:00							2023-11-07 03:59:59	1		1685
43	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2023-11-07 04:00:00							2023-11-07 15:59:59	2		1695
44	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2023-11-07 16:00:00							2023-11-08 03:59:59	2		1696
45	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2023-11-08 04:00:00							2023-11-08 15:59:59	2		1697
46	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2023-11-08 16:00:00							2023-11-09 03:59:59	2		1695
47	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2023-11-09 04:00:00							2023-11-09 15:59:59	2		1702
48	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2023-11-09 16:00:00							2023-11-10 03:59:59	2		1703
49	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2023-11-10 04:00:00							2023-11-10 15:59:59	2		1704
50	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2023-11-10 16:00:00							2023-11-11 03:59:59	2		1708
51	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2023-11-11 04:00:00							2023-11-11 15:59:59	2		1709
52	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2023-11-11 16:00:00							2023-11-12 03:59:59	2		1710
53	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1046,1047	2023-11-12 04:00:00							2023-11-12 15:59:59	3		1719
54	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1046,1047	2023-11-12 16:00:00							2023-11-13 03:59:59	3		1718
55	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2023-11-13 04:00:00							2023-11-13 15:59:59	3		1740
56	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2023-11-13 16:00:00							2023-11-14 03:59:59	3		1741
57	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2023-11-14 04:00:00							2023-11-14 15:59:59	3		1742
58	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1050,1051	2023-11-14 16:00:00							2023-11-15 03:59:59	3		1748
59	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1050,1051	2023-11-15 04:00:00							2023-11-15 15:59:59	3		1749
60	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-11-15 16:00:00							2023-11-16 03:59:59	1		1312
61	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-11-16 04:00:00							2023-11-16 15:59:59	1		1317
62	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-11-16 16:00:00							2023-11-17 03:59:59	1		1318
63	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-11-17 04:00:00							2023-11-17 15:59:59	1		1319
64	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-11-17 16:00:00							2023-11-18 03:59:59	1		1357
65	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-11-18 04:00:00							2023-11-18 15:59:59	1		1358
66	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-11-18 16:00:00							2023-11-19 03:59:59	1		1359
67	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-11-19 04:00:00							2023-11-19 15:59:59	1		1366
68	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-11-19 16:00:00							2023-11-20 03:59:59	1		1367
69	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-11-20 04:00:00							2023-11-20 15:59:59	1		1382
70	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-11-20 16:00:00							2023-11-21 03:59:59	1		1383
71	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-11-21 04:00:00							2023-11-21 15:59:59	1		1384
72	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-11-21 16:00:00							2023-11-22 03:59:59	1		1387
73	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-11-22 04:00:00							2023-11-22 15:59:59	1		1388
74	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-11-22 16:00:00							2023-11-23 03:59:59	1		1389
75	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2023-11-23 04:00:00							2023-11-23 15:59:59	1		1390
76	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2023-11-23 16:00:00							2023-11-24 03:59:59	1		1391
77	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2023-11-24 04:00:00							2023-11-24 15:59:59	1		1392
78	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1028,1029	2023-11-24 16:00:00							2023-11-25 03:59:59	1		1610
79	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1028,1029	2023-11-25 04:00:00							2023-11-25 15:59:59	1		1611
80	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2023-11-25 16:00:00							2023-11-26 03:59:59	1		1629
81	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2023-11-26 04:00:00							2023-11-26 15:59:59	1		1630
82	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2023-11-26 16:00:00							2023-11-27 03:59:59	1		1631
83	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2023-11-27 04:00:00							2023-11-27 15:59:59	1		1636
84	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2023-11-27 16:00:00							2023-11-28 03:59:59	1		1638
85	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-11-28 04:00:00							2023-11-28 15:59:59	1		1317
86	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-11-28 16:00:00							2023-12-01 03:59:59	1		1318
87	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-12-01 04:00:00							2023-12-01 15:59:59	1		1319
88	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-12-01 16:00:00							2023-12-02 03:59:59	1		1357
89	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-12-02 04:00:00							2023-12-02 15:59:59	1		1358
90	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-12-02 16:00:00							2023-12-03 03:59:59	1		1359
91	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-12-03 04:00:00							2023-12-03 15:59:59	1		1366
92	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-12-03 16:00:00							2023-12-04 03:59:59	1		1367
93	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-12-04 04:00:00							2023-12-04 15:59:59	1		1382
94	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-12-04 16:00:00							2023-12-05 03:59:59	1		1383
95	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-12-05 04:00:00							2023-12-05 15:59:59	1		1384
96	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-12-05 16:00:00							2023-12-06 03:59:59	1		1387
97	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-12-06 04:00:00							2023-12-06 15:59:59	1		1388
98	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-12-06 16:00:00							2023-12-07 03:59:59	1		1389
99	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2023-12-07 04:00:00							2023-12-07 15:59:59	1		1390
100	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2023-12-07 16:00:00							2023-12-08 03:59:59	1		1391
101	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2023-12-08 04:00:00							2023-12-08 15:59:59	1		1392
102	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1028,1029	2023-12-08 16:00:00							2023-12-09 03:59:59	1		1610
103	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1028,1029	2023-12-09 04:00:00							2023-12-09 15:59:59	1		1611
104	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2023-12-09 16:00:00							2023-12-10 03:59:59	1		1629
105	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2023-12-10 04:00:00							2023-12-10 15:59:59	1		1630
106	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2023-12-10 16:00:00							2023-12-11 03:59:59	1		1631
107	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2023-12-11 04:00:00							2023-12-11 15:59:59	1		1636
108	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2023-12-11 16:00:00							2023-12-12 03:59:59	1		1638
109	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2023-12-12 04:00:00							2023-12-12 15:59:59	1		1637
110	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2023-12-12 16:00:00							2023-12-13 03:59:59	1		1680
111	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2023-12-13 04:00:00							2023-12-13 15:59:59	1		1681
112	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2023-12-13 16:00:00							2023-12-14 03:59:59	1		1682
113	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1036,1037	2023-12-14 04:00:00							2023-12-14 15:59:59	1		1684
114	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1036,1037	2023-12-14 16:00:00							2023-12-15 03:59:59	1		1685
115	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2023-12-15 04:00:00							2023-12-15 15:59:59	2		1695
116	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2023-12-15 16:00:00							2023-12-16 03:59:59	2		1696
117	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2023-12-16 04:00:00							2023-12-16 15:59:59	2		1697
118	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2023-12-16 16:00:00							2023-12-17 03:59:59	2		1695
119	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2023-12-17 04:00:00							2023-12-17 15:59:59	2		1702
120	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2023-12-17 16:00:00							2023-12-18 03:59:59	2		1703
121	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2023-12-18 04:00:00							2023-12-18 15:59:59	2		1704
122	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2023-12-18 16:00:00							2023-12-19 03:59:59	2		1708
123	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2023-12-19 04:00:00							2023-12-19 15:59:59	2		1709
124	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2023-12-19 16:00:00							2023-12-20 03:59:59	2		1710
125	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1046,1047	2023-12-20 04:00:00							2023-12-20 15:59:59	3		1719
126	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1046,1047	2023-12-20 16:00:00							2023-12-21 03:59:59	3		1718
127	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2023-12-21 04:00:00							2023-12-21 15:59:59	3		1740
128	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2023-12-21 16:00:00							2023-12-22 03:59:59	3		1741
129	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2023-12-22 04:00:00							2023-12-22 15:59:59	3		1742
130	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1050,1051	2023-12-22 16:00:00							2023-12-23 03:59:59	3		1748
131	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2023-12-23 04:00:00							2023-12-23 15:59:59	1		1636
132	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2023-12-23 16:00:00							2023-12-24 03:59:59	1		1638
133	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-12-24 04:00:00							2023-12-24 15:59:59	1		1317
134	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-12-24 16:00:00							2023-12-25 03:59:59	1		1318
135	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-12-25 04:00:00							2023-12-25 15:59:59	1		1319
136	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-12-25 16:00:00							2023-12-26 03:59:59	1		1357
137	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-12-26 04:00:00							2023-12-26 15:59:59	1		1358
138	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-12-26 16:00:00							2023-12-27 03:59:59	1		1359
139	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-12-27 04:00:00							2023-12-27 15:59:59	1		1366
140	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-12-27 16:00:00							2023-12-28 03:59:59	1		1367
141	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-12-28 04:00:00							2023-12-28 15:59:59	1		1382
142	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-12-28 16:00:00							2023-12-29 03:59:59	1		1383
143	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-12-29 04:00:00							2023-12-29 15:59:59	1		1384
144	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-12-29 16:00:00							2023-12-30 03:59:59	1		1387
145	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-12-30 04:00:00							2023-12-30 15:59:59	1		1388
146	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2023-12-30 16:00:00							2023-12-31 03:59:59	1		1389
147	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2023-12-31 04:00:00							2023-12-31 15:59:59	1		1390
148	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2023-12-31 16:00:00							2024-01-01 03:59:59	1		1391
149	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2024-01-01 04:00:00							2024-01-01 15:59:59	1		1392
150	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1028,1029	2024-01-01 16:00:00							2024-01-02 03:59:59	1		1610
151	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1028,1029	2024-01-02 04:00:00							2024-01-02 15:59:59	1		1611
152	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2024-01-02 16:00:00							2024-01-03 03:59:59	1		1629
153	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2024-01-03 04:00:00							2024-01-03 15:59:59	1		1630
154	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2024-01-03 16:00:00							2024-01-04 03:59:59	1		1631
155	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2024-01-04 04:00:00							2024-01-04 15:59:59	1		1636
156	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2024-01-04 16:00:00							2024-01-05 03:59:59	1		1638
157	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2024-01-05 04:00:00							2024-01-05 15:59:59	1		1637
158	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2024-01-05 16:00:00							2024-01-06 03:59:59	1		1680
159	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2024-01-06 04:00:00							2024-01-06 15:59:59	1		1681
160	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2024-01-06 16:00:00							2024-01-07 03:59:59	1		1682
161	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1036,1037	2024-01-07 04:00:00							2024-01-07 15:59:59	1		1684
162	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1036,1037	2024-01-07 16:00:00							2024-01-08 03:59:59	1		1685
163	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2024-01-08 04:00:00							2024-01-08 15:59:59	2		1695
164	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2024-01-08 16:00:00							2024-01-09 03:59:59	2		1696
165	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2024-01-09 04:00:00							2024-01-09 15:59:59	2		1697
166	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2024-01-09 16:00:00							2024-01-10 03:59:59	2		1695
167	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2024-01-10 04:00:00							2024-01-10 15:59:59	2		1702
168	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2024-01-10 16:00:00							2024-01-11 03:59:59	2		1703
169	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2024-01-11 04:00:00							2024-01-11 15:59:59	2		1704
170	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2024-01-11 16:00:00							2024-01-12 03:59:59	2		1708
171	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2024-01-12 04:00:00							2024-01-12 15:59:59	2		1709
172	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2024-01-12 16:00:00							2024-01-13 03:59:59	2		1710
173	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1046,1047	2024-01-13 04:00:00							2024-01-13 15:59:59	3		1719
174	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1046,1047	2024-01-13 16:00:00							2024-01-14 03:59:59	3		1718
175	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2024-01-14 04:00:00							2024-01-14 15:59:59	3		1740
176	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2024-01-14 16:00:00							2024-01-15 03:59:59	3		1741
177	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2024-01-15 04:00:00							2024-01-15 15:59:59	3		1742
178	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1050,1051	2024-01-15 16:00:00							2024-01-16 03:59:59	3		1748
179	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2024-01-16 04:00:00							2024-01-16 15:59:59	1		1636
180	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2024-01-16 16:00:00							2024-01-17 03:59:59	1		1638
